23:38:23  [Apache] 	Attempting to stop Apache (PID: 1032)
23:38:23  [Apache] 	Status change detected: stopped
23:38:23  [mysql] 	Attempting to stop MySQL app...
23:38:23  [mysql] 	Status change detected: stopped
23:38:27  [main] 	Deinitializing Modules
23:38:27  [main] 	Deinitializing Control Panel

23:29:11  [main] 	Initializing Control Panel
23:29:11  [main] 	Windows Version:  Enterprise  64-bit
23:29:11  [main] 	XAMPP Version: 7.3.9
23:29:11  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
23:29:11  [main] 	You are not running with administrator rights! This will work for
23:29:11  [main] 	most application stuff but whenever you do something with services
23:29:11  [main] 	there will be a security dialogue or things will break! So think 
23:29:11  [main] 	about running this application with administrator rights!
23:29:11  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
23:29:11  [main] 	Checking for prerequisites
23:29:11  [main] 	All prerequisites found
23:29:11  [main] 	Initializing Modules
23:29:11  [Apache] 	XAMPP Apache is already running on port 80
23:29:11  [Apache] 	XAMPP Apache is already running on port 443
23:29:11  [mysql] 	XAMPP MySQL is already running on port 3306
23:29:11  [main] 	The FileZilla module is disabled
23:29:11  [main] 	The Mercury module is disabled
23:29:11  [main] 	Starting Check-Timer
23:29:11  [main] 	Control Panel Ready
23:36:12  [Apache] 	Status change detected: stopped
23:36:12  [Apache] 	Error: Apache shutdown unexpectedly.
23:36:12  [Apache] 	This may be due to a blocked port, missing dependencies, 
23:36:12  [Apache] 	improper privileges, a crash, or a shutdown by another method.
23:36:12  [Apache] 	Press the Logs button to view error logs and check
23:36:12  [Apache] 	the Windows Event Viewer for more clues
23:36:12  [Apache] 	If you need more help, copy and post this
23:36:12  [Apache] 	entire log window on the forums
23:36:13  [mysql] 	Status change detected: stopped
23:36:13  [mysql] 	Error: MySQL shutdown unexpectedly.
23:36:13  [mysql] 	This may be due to a blocked port, missing dependencies, 
23:36:13  [mysql] 	improper privileges, a crash, or a shutdown by another method.
23:36:13  [mysql] 	Press the Logs button to view error logs and check
23:36:13  [mysql] 	the Windows Event Viewer for more clues
23:36:13  [mysql] 	If you need more help, copy and post this
23:36:13  [mysql] 	entire log window on the forums
23:36:14  [mysql] 	Status change detected: running
23:36:15  [Apache] 	Status change detected: running
23:38:23  [Apache] 	Status change detected: stopped
23:38:23  [Apache] 	Error: Apache shutdown unexpectedly.
23:38:23  [Apache] 	This may be due to a blocked port, missing dependencies, 
23:38:23  [Apache] 	improper privileges, a crash, or a shutdown by another method.
23:38:23  [Apache] 	Press the Logs button to view error logs and check
23:38:23  [Apache] 	the Windows Event Viewer for more clues
23:38:23  [Apache] 	If you need more help, copy and post this
23:38:23  [Apache] 	entire log window on the forums
23:38:23  [mysql] 	Status change detected: stopped
23:38:23  [mysql] 	Error: MySQL shutdown unexpectedly.
23:38:23  [mysql] 	This may be due to a blocked port, missing dependencies, 
23:38:23  [mysql] 	improper privileges, a crash, or a shutdown by another method.
23:38:23  [mysql] 	Press the Logs button to view error logs and check
23:38:23  [mysql] 	the Windows Event Viewer for more clues
23:38:23  [mysql] 	If you need more help, copy and post this
23:38:23  [mysql] 	entire log window on the forums
23:38:28  [main] 	Deinitializing Modules
23:38:28  [main] 	Deinitializing Control Panel

20:47:55  [main] 	Initializing Control Panel
20:47:56  [main] 	Windows Version:  Enterprise  64-bit
20:47:56  [main] 	XAMPP Version: 7.3.9
20:47:56  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
20:47:56  [main] 	You are not running with administrator rights! This will work for
20:47:56  [main] 	most application stuff but whenever you do something with services
20:47:56  [main] 	there will be a security dialogue or things will break! So think 
20:47:56  [main] 	about running this application with administrator rights!
